N,P,K,pH,Crop
43.708610696262625,16.77675576811577,192.9989695708982,7.444770862233466,Wheat
95.56428757689245,16.11404595823999,251.3580823249966,6.017159086315498,Tomato
75.87945476302646,45.78145612344665,240.04023244753975,8.117183690064444,Rice
63.8792635777333,16.229578993227776,88.47497617344342,7.3393487172077245,Barley
24.041677639819287,17.237737675788395,87.31236743536849,5.971611650670862,Grape
24.03950683025824,39.17292180880837,117.04359193622832,8.387014172443621,Tomato
15.227525095137953,25.2382929102743,140.2686815852593,7.0550963900059624,Bean
87.95585311974416,39.95197506298315,152.11389535212066,5.718695355614965,Onion
64.1003510568888,7.941477090397336,219.9243042083363,7.380498713245202,Wheat
73.7265320016441,26.940703715302295,64.17010804145885,6.259596721038431,Rice
11.85260448662222,6.512612008247718,58.6681760565166,7.911080355631907,Olive
97.29188669457949,7.819394155490953,147.97764073597727,7.953466220698572,Lentil
84.91983767203796,45.78968540049849,224.2909230344951,8.436842067563985,Rice
29.110519961044854,11.266041700291783,98.35883573912065,7.005608593073511,Bean
26.364247048639054,28.95893070238477,210.37612031406292,6.864870639183211,Lettuce
26.506405886809045,23.499302117031796,114.95703448507487,7.760426816339442,Date Palm
37.381801866358394,20.63044968164792,271.5215272033791,5.89741196902578,Lentil
57.228078846901404,45.49250055592726,273.92248606665413,7.1407465413793725,Wheat
48.87505167779042,5.982052854897027,124.32180107033162,7.138742800392553,Barley
36.21062261782377,34.87053587790151,107.49843849081013,5.768419368431162,Lettuce
65.06676052501416,48.35274953960977,152.82599301655782,6.753952256520741,Wheat
22.554447458683764,30.20756825578289,110.13289629503717,8.059854395701606,Rice
36.29301836816963,47.157010791489135,218.09596082292592,8.068460865983981,Rice
42.97256589643225,7.351604567871069,256.5161711370714,5.797712994759043,Cucumber
51.046298579533236,23.845699358337264,218.27303272780426,5.7721626482434925,Barley
80.66583652537122,16.707100593292303,256.0876118123374,6.288086431005806,Tomato
27.970640394252378,37.88694342413284,149.24804055186854,8.124298187661982,Olive
56.28109945722505,49.158369072376104,89.0792426772152,5.886707755220497,Lettuce
63.31731119758382,16.54385280999115,234.48773684939803,7.659990407882338,Barley
14.180537144799796,34.43785706633335,140.11862628538847,5.80349685883931,Maize
64.67903667112945,13.914393474188305,217.81770630728312,7.369413561243476,Wheat
25.347171131856236,30.439861455722447,117.66098549544142,6.568201897357435,Lettuce
